   Num:    Value          Size Type    Bind   Vis      Ndx Name
    27: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND sendto@LIBC (2)
    28: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND connect@LIBC (2)
    35: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND bind@LIBC (2)
   274: 00000000001c0178    16 OBJECT  WEAK   DEFAULT   17 _ZTIN3mfw10SdpWr[...]
   276: 00000000001cfb28     8 OBJECT  GLOBAL DEFAULT   24 staticUdpPipeManager
   278: 0000000000101bd4    88 FUNC    GLOBAL DEFAULT   15 xlua_pack_int16_t
   285: 000000000013c438  2276 FUNC    WEAK   DEFAULT   15 _ZN3muf11SdpUnpa[...]
   296: 00000000001bff20    40 OBJECT  WEAK   DEFAULT   17 _ZTVN3mfw12SdpEx[...]
   362: 00000000000e36cc  1888 FUNC    GLOBAL DEFAULT   15 _ZN15LuaSdpMapWr[...]
   375: 00000000000e3388    36 FUNC    GLOBAL DEFAULT   15 _ZN17LuaSdpValue[...]
   383: 00000000000c6350   188 FUNC    WEAK   DEFAULT   15 _ZN3mfw11SdpUnpa[...]
   402: 00000000000dc1dc    64 FUNC    GLOBAL DEFAULT   15 _tr_init
   404: 00000000000e3428   124 FUNC    GLOBAL DEFAULT   15 _ZN18LuaSdpStruc[...]
   420: 00000000000e3520   124 FUNC    GLOBAL DEFAULT   15 _ZN12LuaSdpVecto[...]
   434: 00000000000e8b9c   348 FUNC    WEAK   DEFAULT   15 _ZN3mfw9SdpPacke[...]
   492: 00000000000c64ac   244 FUNC    WEAK   DEFAULT   15 _ZN3mfw11SdpUnpa[...]
   507: 00000000000e9458   236 FUNC    WEAK   DEFAULT   15 _ZN3mfw11SdpUnpa[...]
   527: 00000000000e595c  1636 FUNC    WEAK   DEFAULT   15 _ZNK17LuaSdpValu[...]
   585: 0000000000144d70    32 FUNC    GLOBAL DEFAULT   15 _Z8SHA1InitP8SHA1_CTX
   591: 0000000000133ba0   204 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua11Lua[...]
   595: 00000000001cfb48     8 OBJECT  GLOBAL DEFAULT   24 staticUdpPipeManager1
   609: 0000000000144fd0    20 FUNC    GLOBAL DEFAULT   15 MD5Init
   627: 00000000000c6e08  1248 FUNC    WEAK   DEFAULT   15 _ZN3mfw11SdpUnpa[...]
   628: 00000000001292a4   296 FUNC    GLOBAL DEFAULT   15 inet_tryconnect
   635: 0000000000133dd4   124 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua18Lua[...]
   686: 00000000000e7a04   980 FUNC    WEAK   DEFAULT   15 _ZNK12LuaSdpStru[...]
   690: 00000000000e16d8     8 FUNC    GLOBAL DEFAULT   15 SDP_NativeParseV[...]
   692: 0000000000101b38    88 FUNC    GLOBAL DEFAULT   15 xlua_pack_int8_t
   702: 0000000000136ffc   244 FUNC    WEAK   DEFAULT   15 _ZNK7sdpxlua18Lu[...]
   719: 0000000000136c70   332 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
   734: 0000000000101c70    88 FUNC    GLOBAL DEFAULT   15 xlua_pack_int32_t
   735: 00000000000ca418   112 FUNC    GLOBAL DEFAULT   15 KCP_ReceiveRelea[...]
   737: 00000000000e36bc    16 FUNC    GLOBAL DEFAULT   15 _ZN9LuaSdpMapC2E[...]
   767: 000000000012943c   356 FUNC    GLOBAL DEFAULT   15 inet_trybind
   775: 0000000000133d58   124 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua18Lua[...]
   779: 00000000000d16d4    28 FUNC    GLOBAL DEFAULT   15 deflateInit_
   807: 00000000000c5efc   196 FUNC    WEAK   DEFAULT   15 _ZN3mfw12SdpExce[...]
   863: 0000000000133c6c    76 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua17Lua[...]
   871: 00000000000e3640   124 FUNC    GLOBAL DEFAULT   15 _ZN18LuaSdpVecto[...]
   906: 00000000000e33ac   124 FUNC    GLOBAL DEFAULT   15 _ZN12LuaSdpStruc[...]
   918: 00000000000e333c    76 FUNC    GLOBAL DEFAULT   15 _ZN17LuaSdpValue[...]
